rowid,pl_name,hostname,pl_orbper,pl_orblper,pl_orbtper,pl_orbsmax,pl_orbeccen,st_rad,st_mass
3406,Kepler-548 b,Kepler-548,4.454194338,,,0.0495,0.0,0.9,0.93
3407,Kepler-549 b,Kepler-549,42.9495649,,,0.23236,0.0,0.84,0.88
3408,Kepler-978 b,Kepler-978,49.6221509,,,0.2726,0.0,1.09,1.07
3409,Kepler-979 b,Kepler-979,8.0880135,,,0.0753,0.0,0.83,0.87
3410,Kepler-1000 b,Kepler-1000,120.0181272,,,0.5326,0.0,1.51,1.4
3411,Kepler-553 b,Kepler-553,4.030467,,,0.04766,0.0,0.902,0.889
3412,Kepler-493 b,Kepler-493,3.003876581,,,0.0439,0.0,1.54,1.36
3413,Kepler-541 b,Kepler-541,5.08005848,,,0.06447,0.0,2.06,1.41
3414,Kepler-542 b,Kepler-542,13.14497566,,,0.10703,0.0,0.9,0.93
3415,Kepler-532 b,Kepler-532,12.92491623,,,0.10151,0.0,0.79,0.87
3416,Kepler-533 b,Kepler-533,28.51120525,,,0.16704,0.0,0.72,0.78
3417,Kepler-551 b,Kepler-551,12.3764661,,,0.0893,0.0,0.63,0.65
3418,Kepler-1006 b,Kepler-1006,19.76172042,,,0.1464,0.0,0.74,0.78
3419,Kepler-1041 b,Kepler-1041,24.7576421,,,0.1688,0.0,1.08,1.06
3420,Kepler-1042 b,Kepler-1042,10.13202575,,,0.0756,0.0,0.72,0.75
3421,Kepler-1043 b,Kepler-1043,38.5053398,,,0.2159,0.0,0.9,0.92
3422,Kepler-1044 b,Kepler-1044,6.77408868,,,0.0741,0.0,1.11,1.08
3423,Kepler-1010 b,Kepler-1010,34.2685705,,,0.193,0.0,0.82,0.86
3424,Kepler-1011 b,Kepler-1011,5.753221974,,,0.0633,0.0,0.88,0.91
3425,Kepler-1012 b,Kepler-1012,5.50860439,,,0.06066,0.0,0.91,0.95
3426,Kepler-1016 b,Kepler-1016,1.954524342,,,0.03044,0.0,1.0,0.99
3427,Kepler-1020 b,Kepler-1020,96.9151496,,,0.37594,0.0,0.8,0.87
3428,Kepler-1021 b,Kepler-1021,13.47469571,,,0.1034,0.0,0.86,0.89
3429,Kepler-1022 b,Kepler-1022,10.99469878,,,0.0805,0.0,0.68,0.71
3430,Kepler-1013 b,Kepler-1013,18.93054959,,,0.137,0.0,0.76,0.81
3431,Kepler-1014 b,Kepler-1014,16.57110363,,,0.121,0.0,0.84,0.88
3432,Kepler-1015 b,Kepler-1015,16.00494214,,,0.1345,0.0,1.81,1.49
3433,Kepler-1005 b,Kepler-1005,6.49801525,,,0.06717,0.0,1.06,1.0
3434,Kepler-987 b,Kepler-987,105.3033148,,,0.4238,0.0,0.91,0.97
3435,Kepler-988 b,Kepler-988,17.76080053,,,0.1085,0.0,0.53,0.55
3436,Kepler-989 b,Kepler-989,7.964315352,,,0.0734,0.0,0.78,0.82
3437,Kepler-990 b,Kepler-990,9.91723428,,,0.08595,0.0,1.08,1.05
3438,Kepler-990 c,Kepler-990,0.538354308,,,0.01232,0.0,1.08,1.05
3439,Kepler-991 b,Kepler-991,82.5342519,,,0.3104,0.0,0.61,0.64
3440,Kepler-992 b,Kepler-992,20.16034462,,,0.13372,0.0,0.74,0.8
3441,Kepler-993 b,Kepler-993,22.08557563,,,0.13,0.0,0.54,0.57
3442,Kepler-543 b,Kepler-543,13.89961966,,,0.1023,0.0,0.67,0.7
3443,Kepler-531 b,Kepler-531,29.88485741,,,0.17446,0.0,0.75,0.78
3444,Kepler-522 b,Kepler-522,38.58422849,,,0.25029,0.0,1.98,1.54
3445,Kepler-523 b,Kepler-523,5.835983111,,,0.06159,0.0,0.86,0.93
3446,Kepler-982 b,Kepler-982,15.7738221,,,0.1277,0.0,1.29,1.16
3447,Kepler-998 b,Kepler-998,5.65377733,,,0.0626,0.0,1.18,1.12
3448,Kepler-985 b,Kepler-985,116.331901,,,0.44664,0.0,0.85,0.91
3449,Kepler-986 b,Kepler-986,56.4349938,,,0.29131,0.0,0.98,0.96
3450,Kepler-524 b,Kepler-524,7.97419807,,,0.07955,0.0,1.1,1.09
3451,Kepler-524 c,Kepler-524,1.88897906,,,0.03046,0.0,1.1,1.09
3452,Kepler-525 b,Kepler-525,18.68404933,,,0.14386,0.0,1.15,0.95
3453,Kepler-526 b,Kepler-526,5.458498316,,,0.06518,0.0,1.14,1.15
3454,Kepler-496 b,Kepler-496,8.30864937,,,0.0747,0.0,0.82,0.86
3455,Kepler-1419 b,Kepler-1419,42.5215895,,,0.2391,0.0,1.01,1.01
3456,Kepler-1443 b,Kepler-1443,2.41811321,,,0.03783,0.0,1.27,1.19
3457,Kepler-1430 b,Kepler-1430,2.46050993,,,0.0304,0.0,0.72,0.77
3458,Kepler-980 b,Kepler-980,11.55102504,,,0.09993,0.0,1.06,1.05
3459,Kepler-981 b,Kepler-981,4.469757736,,,0.0535,0.0,0.96,0.98
3460,Kepler-1431 b,Kepler-1431,5.86601526,,,0.0648,0.0,1.03,1.03
3461,Kepler-1432 b,Kepler-1432,23.9109011,,,0.1696,0.0,1.13,1.09
3462,Kepler-1433 b,Kepler-1433,4.13592271,,,0.0516,0.0,1.19,1.14
3463,Kepler-1434 b,Kepler-1434,8.05333618,,,0.0917,0.0,2.04,1.47
3464,Kepler-1435 b,Kepler-1435,4.45343281,,,0.05456,0.0,1.32,1.21
3465,Kepler-1418 b,Kepler-1418,22.4764425,,,0.131,0.0,0.72,0.77
3466,Kepler-955 b,Kepler-955,14.53244172,,,0.1083,0.0,0.84,0.89
3467,Kepler-956 b,Kepler-956,5.248672631,,,0.06017,0.0,1.15,1.1
3468,Kepler-957 b,Kepler-957,5.907413537,,,0.0559,0.0,0.75,0.81
3469,Kepler-958 b,Kepler-958,9.7678805,,,0.08631,0.0,0.86,0.91
3470,Kepler-959 b,Kepler-959,14.80074836,,,0.1633,0.0,2.01,1.6
